,swap-uniba__LLaMAntino-3-ANITA-8B-Inst-DPO-ITA,meta-llama__Llama-3.1-70B-Instruct,meta-llama__Llama-3.1-8B-Instruct,sapienzanlp__Minerva-7B-instruct-v1.0
arc_challenge_ita,True,True,True,True
amelia-arg-scheme-fewshot,True,True,True,True
gfg_task_1_2,True,True,True,True
ironita_sarcasm,True,True,True,True
eureka_original,True,True,True,True
gfg_task_3_2,True,True,True,True
news_sum_fanpage,True,True,True,True
geese_human,True,True,True,True
veryfIT_small,True,True,True,True
perse_task_1,True,True,True,True
truthfulqa_mc1_ita,True,True,True,True
blm_od2_1shots,True,True,True,True
ironita_irony,True,True,True,True
amelia-arg-component-fewshot,True,True,True,True
hellaswag_ita,True,True,True,True
ami_2020_misogyny,True,True,True,True
beep,True,True,True,True
amelia-arg-component-zeroshot,True,True,True,True
invalsi_mate_numero,True,True,True,True
blm_caus2_0shots,True,True,True,True
blm_agr2_1shots,True,True,True,True
amelia-arg-scheme-zeroshot,True,True,True,True
eureka_hints,True,True,True,True
gfg_task_2_1,True,True,True,True
invalsi_ita,True,True,True,True
invalsi_mate,True,True,True,True
ita-sense-ml-no-translation,True,True,True,True
sentipolc,True,True,True,True
gfg_task_1_1,True,True,True,True
blm_caus1_1shots,True,True,True,True
invalsi_mate_verofalso,True,True,True,True
blm_caus2_1shots,True,True,True,True
pejorativITy-misoginy-context,True,True,True,True
gfg_task_2_3,True,True,True,True
abricot_abs,True,True,True,True
arc_easy_ita,True,True,True,True
haspeede2_hs,True,True,True,True
blm_od1_0shots,True,True,True,True
squad_it,True,True,True,True
story_class,True,True,True,True
geese_dummy,True,True,True,True
itacola,True,True,True,True
perse_task_2,True,True,True,True
perse_task_3,True,True,True,True
truthfulqa_gen_ita,True,True,True,True
amelia-arg-premisetype-fewshot,True,True,True,True
ecwca-no-hint,True,True,True,True
pejorativITy-misoginy,True,True,True,True
hatecheck_ita,True,True,True,True
blm_agr2_0shots,True,True,True,True
invalsi_mate_multipla,True,True,True,True
pejorativITy-standard,True,True,True,True
gente_rephrasing,True,True,True,True
ita-sense-ml-with-translation,True,True,True,True
ecwca-hint,True,True,True,True
blm_od1_1shots,True,True,True,True
geese_llama3,True,True,True,True
conflict_detect,True,True,True,True
traceIT,True,True,True,True
haspeede2_stereo,True,True,True,True
blm_agr1_1shots,True,True,True,True
belebele_ita,True,True,True,True
ita-sense-gen-no-translation,True,True,True,True
honest_ita,True,True,True,True
veryfIT_full,True,True,True,True
multi-it-c,True,True,True,True
abricot_inc,True,True,True,True
multi-it-a,True,True,True,True
truthfulqa_mc2_ita,True,True,True,True
invalsi_ita_binarie,True,True,True,True
gattina-ansa,True,True,True,True
gfg_task_2_2,True,True,True,True
amelia-arg-premisetype-zeroshot,True,True,True,True
ita-sense-gen-with-translation,True,True,True,True
news_sum_ilpost,True,True,True,True
geese_noexp,True,True,True,True
blm_caus1_0shots,True,True,True,True
blm_od2_0shots,True,True,True,True
perse_task_0,True,True,True,True
veryfIT_enriched,True,True,True,True
physical_state,True,True,True,True
blm_agr1_0shots,True,True,True,True
invalsi_ita_multipla,True,True,True,True
gattina-galileo,True,True,True,True
ami_2020_aggressiveness,True,True,True,True
gfg_task_3_1,True,True,True,True
